row_index,policy_id,source_url,file_path,state_list,county_list,city_list,tribe_list,policy_level,policy_type
69,5157614ad73a844958190f316af3b678891656f7,https://www.fws.gov/project/fostering-partnerships-drought-contingency-plan,/scratch/xt2284/pdf_data/data/Oklahoma/Federal/Fostering Partnerships to Design and Implement a Drought Contingency Plan in the Arbuckle-Simpson Aquifer.pdf,['Oklahoma'],[],[],[],Federal,
70,86fcabd929460d0f5cae0a6af70d1284740c2cd4,https://www.epa.gov/system/files/documents/2022-10/bh508-R06%20EPA%20CAIP_Submitted_October2022_508.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/Federal/86fcabd929__bh508-R06 EPA CAIP_Submitted_October2022_508.pdf,['Oklahoma'],[],[],[],Federal,
71,e55665769bff28dcc6bd88dcca5a80075d1b7f71,https://www.energy.gov/sites/default/files/2023-11/Arguello_Report_SAND_SAND2023-09029.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/Federal/e55665769b__Arguello_Report_SAND_SAND2023-09029.pdf,['Oklahoma'],['Hughes'],['Wetumka City'],['Alabama-Quassarte Tribal Town'],Federal,Energy / Climate & Renewable Energy Strategy
72,f21e659125e98cafb06b68b4bbb7462a3eb31933,https://www.hudexchange.info/sites/onecpd/assets/File/AL-FEMA-Prototype-2014-PA-Section-106.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/Federal/f21e659125__AL-FEMA-Prototype-2014-PA-Section-106.pdf,['Oklahoma'],[],[],[],Federal,Disaster Response / Hazard Mitigation / Climate Resilience
73,eddd2209c56de0c5ae38ffdb17d69d732b21c703,https://kawerak.org/wp-content/uploads/2019/04/GAP-guidance.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/Federal/eddd2209c5__GAP-guidance.pdf,['Oklahoma'],['Caddo'],['Apache City'],['Fort Sill Apache Tribe of Oklahoma'],Federal,Environmental / Tribal Capacity Building
74,02bc95d3e1e456cd30291bc78eb94622116e0b20,https://www.epa.gov/system/files/documents/2022-12/clean-water-act-section-106-tribal-guidance.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/Federal/02bc95d3e1__clean-water-act-section-106-tribal-guidance.pdf,['Oklahoma'],[],[],[],Federal,Water Quality / Environmental Monitoring
75,ef9b6a8603398b23f9ad24e62c6ab0bb8f3b3976,https://www.choctawnation.com/wp-content/uploads/2025/08/cno-water-settlement-agreement.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/Federal/ef9b6a8603__cno-water-settlement-agreement.pdf,['Oklahoma'],[],[],[],Federal,Water Rights / Water Resource Management
76,f4a4fa8c07a9f3b235c450c6c76bbe8e95aa537b,https://www.epa.gov/system/files/documents/2023-02/ira-caa-grant-application-guidance.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/Federal/f4a4fa8c07__ira-caa-grant-application-guidance.pdf,['Oklahoma'],['Caddo'],['Anadarko City'],['Delaware Nations'],Federal,Air quality
77,4a42d18c44ac53ed77db2025e3a7c69d2a0c09e1,https://www.okcommerce.gov/wp-content/uploads/Oklahoma-Energy-Security-Plan.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/State/4a42d18c44__Oklahoma-Energy-Security-Plan.pdf,['Oklahoma'],[],[],[],State,
78,16edb1ae1145fb6177726da7449a7a090b28f684,https://www.epa.gov/system/files/documents/2024-03/oklahoma-cprg-priority-action-plan.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/State/16edb1ae11__oklahoma-cprg-priority-action-plan.pdf,['Oklahoma'],[],[],[],State,Climate Action Plan
79,4f65913ec84998c9e27733d9aaaa65229fd8c610,https://oklahoma.gov/content/dam/ok/en/oem/documents/SHMP%202024.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/State/4f65913ec8__SHMP 2024.pdf,['Oklahoma'],[],[],[],State,Hazard Mitigation Plan
80,66e82b6ecc60cf856db58a94ed0efdadcb4663ae,https://ag.ok.gov/wp-content/uploads/2025/02/Forest-Action-Plan-2020.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/State/66e82b6ecc__Forest-Action-Plan-2020.pdf,['Oklahoma'],[],[],[],State,
81,d7945159b371cdc8badcb5c8b6803997f566fdcb,https://www.okcommerce.gov/wp-content/uploads/CDBG-DR-Action-Plan-93.7-Million.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/State/d7945159b3__CDBG-DR-Action-Plan-93.7-Million.pdf,['Oklahoma'],[],[],[],State,
82,97238f39455d83e7a894112f5e9113cb02d0c6a2,https://www.okcommerce.gov/wp-content/uploads/CDBG-DR-2022-Action-Plan-SA1.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/State/97238f3945__CDBG-DR-2022-Action-Plan-SA1.pdf,['Oklahoma'],[],[],[],State,
83,5e985facdb5b7ea9b8e40309757f97a203b3e25c,https://www.choctawnation.com/wp-content/uploads/2025/05/priority-climate-action-plan.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/5e985facdb__priority-climate-action-plan.pdf,['Oklahoma'],[],[],['Choctaw Nation'],Tribe,Climate / GHG Reduction / Strategic Planning
84,6622d84ba7bf4f8c2cbbbda2baa61c8c8f7958de,https://delawaretribe.org/wp-content/uploads/Climate-Adaptation-Plan-and-Vulnerability-Assessment-01-2026.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/6622d84ba7__Climate-Adaptation-Plan-and-Vulnerability-Assessment-01-2026.pdf,['Oklahoma'],[],[],['Delaware Tribe of Indians'],Tribe,Climate Adaptation
85,575022b4bb831533322c49632f7c5a6759547dc8,https://static1.squarespace.com/static/60537f312b9e3a557fca2b4f/t/67b8b18851204d72c738da15/1740157324753/25-01-16_KTO_PCAP_Final.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/575022b4bb__25-01-16_KTO_PCAP_Final.pdf,['Oklahoma'],"['Pottawatomie', 'Lincoln', 'Oklahoma']",['McLoud City'],['Kickapoo Tribe'],Tribe,Climate Adaptation / GHG Reduction / Strategic Planning
86,7a05fa80b1b2f87b94d677f2ce4e87844ec32edf,https://www.epa.gov/system/files/documents/2024-04/kiowa-tribe-pcap-5d-02f41701-0.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/7a05fa80b1__kiowa-tribe-pcap-5d-02f41701-0.pdf,['Oklahoma'],[],[],"['Kiowa Tribe', 'Delaware Nation', 'Apache Tribe', 'Caddo Nation', 'Comanche Nation', 'Cheyenne & Arapaho Tribes']",Tribe,Climate Adaptation
87,7f804ff08d929d34f9f8f92194bc1d0e94adbfac,https://www.epa.gov/system/files/documents/2024-04/muscogee-creek-nation-pcap.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/7f804ff08d__muscogee-creek-nation-pcap.pdf,['Oklahoma'],['Creek'],['Okmulgee City'],['Muscogee (Creek) Nation'],Tribe,Climate Adaptation
88,0664da1088bb1cb26656b62063fea433efa36809,https://www.muscogeenation.com/wp-content/uploads/2023/05/20230531-Hazard-Mitigation-Plan.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/0664da1088__20230531-Hazard-Mitigation-Plan.pdf,['Oklahoma'],[],[],[],Tribe,Hazard Mitigation Plan
89,0a08d4a294c5d1818f4f6691a0dc76a912b6e19f,"https://www.osagenation-nsn.gov/media/94/download?attachment#:~:text=Because%20the%20temperature%20stays%20so,temperatures%20comfortable%20throughout%20the%20building.&text=The%20strategies%20used%20for%20Phase,is%20what%20makes%20it%20Osage.",/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/aOsage Master Plan story UPDATEDpdf.pdf,['Oklahoma'],['Osage'],['Pawhuska City'],['Osage Nation'],Tribe,Climate Adaptation
90,2e107e5a0925a48984fd0ece2f4bd2e2cce2dce8,https://incog.org/Community_Economic_Development/Documents/Creek_County_MHMP_Draft.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/2e107e5a09__Creek_County_MHMP_Draft.pdf,['Oklahoma'],"['Kay', 'Creek']",['Kaw City'],['Kaw Nation'],Tribe,Hazard Mitigation Plan
91,58b3424948b49179c074df66c9c5d27d7c6c7c40,https://www.wichita.gov/DocumentCenter/View/29744/Wichita-Climate-Action-Plan-918-Public-Draft-PDF,/scratch/xt2284/pdf_data/data/Oklahoma/Tribe/Wichita Climate Action Plan (9-18 Public Draft).pdf,['Oklahoma'],['Caddo'],['Anadarko City'],"['Wichita and Affiliated Tribes (Wichita', 'Keechi', 'Waco & Tawakonie)']",Tribe,Climate Adaptation & Mitigation
92,9bab3014242a1a521d4a8964e9c4a959d724b4cb,https://www.sciencebase.gov/catalog/item/5a7c87c7e4b00f54eb231aaf,/scratch/xt2284/pdf_data/data/Oklahoma/Federal-Tribal Collab/cpn_climate_change_vulnerability_assessment_final_5.13.2016.pdf,['Oklahoma'],[],[],[],Federal-Tribal Collab,Climate Adaptation / Vulnerability Assessment
93,a3c00be2759be644a949311f14838eb418b7706f,https://southcentralclimate.org/wp-content/uploads/2024/03/EvaluationReport_SouthCentralCASC-TribalEngagement_Feb2024.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/Federal-Tribal Collab/a3c00be275__EvaluationReport_SouthCentralCASC-TribalEngagement_Feb2024.pdf,['Oklahoma'],[],[],[],Federal-Tribal Collab,Climate Adaptation
